play_in,play_in_region,play_in_entity
England,UEFA,England
Germany,UEFA,Germany
Spain,UEFA,Spain
France,UEFA,France
Italy,UEFA,Italy
Saudi_Arabia,AFC,Saudi_Arabia
Turkey,UEFA,Turkey
United_States,CONCACAF,United_States
Netherlands,UEFA,Netherlands
Brazil,CONMEBOL,Brazil
Portugal,UEFA,Portugal
Qatar,AFC,Qatar
Belgium,UEFA,Belgium
Mexico,CONCACAF ,Mexico
Iran,AFC,Iran
Czech_Republic,UEFA,Czech_Republic
Egypt,CAF,Egypt
Scotland,UEFA,Scotland
South_Africa,CAF,South_Africa
Uzbekistan,AFC,Uzbekistan
Argentina,CONMEBOL,Argentina
United_Arab_Emirates,AFC,United_Arab_Emirates
Iraq,AFC,Iraq
Denmark,UEFA,UEFA
Russia,UEFA,UEFA
Greece,UEFA,UEFA
Jordan,AFC,AFC
Switzerland,UEFA,UEFA
Cyprus,UEFA,UEFA
South_Korea,AFC,AFC
Austria,UEFA,UEFA
Norway,UEFA,UEFA
Tunisia,CAF,CAF
Japan,AFC,AFC
Canada,CONCACAF ,CONCACAF 
New_Zealand,OFC ,OFC 
Australia,AFC,AFC
Wales,UEFA,UEFA
Croatia,UEFA,UEFA
Ecuador,CONMEBOL,CONMEBOL
Israel,UEFA,UEFA
Sweden,UEFA,UEFA
Paraguay,CONMEBOL,CONMEBOL
Algeria,CAF,CAF
Serbia,UEFA,UEFA
Morocco,CAF,CAF
Hungary,UEFA,UEFA
Romania,UEFA,UEFA
Poland,UEFA,UEFA
Costa_Rica,CONCACAF ,CONCACAF 
Azerbaijan,UEFA,UEFA
Venezuela,CONMEBOL,CONMEBOL
Malaysia,AFC,AFC
Unattached,None,None
Slovakia,UEFA,UEFA
Ireland,UEFA,UEFA
Slovenia,UEFA,UEFA
Panama,CONCACAF ,CONCACAF 
Bulgaria,UEFA,UEFA
Chile,CONMEBOL,CONMEBOL
Armenia,UEFA,UEFA
Haiti,CONCACAF ,CONCACAF 
Ghana,CAF,CAF
Honduras,CONCACAF ,CONCACAF 
Bosnia_and_Herzegovina,UEFA,UEFA
Thailand,AFC,AFC
Uruguay,CONMEBOL,CONMEBOL
Kazakhstan,UEFA,UEFA
China,AFC,AFC
Indonesia,AFC,AFC
Finland,UEFA,UEFA
Colombia,CONMEBOL,CONMEBOL
